"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.1673 -0.0479 0.2434 -0.8923 0.2769 0.1513 -0.1091 -0.0392
"2" 0.1474 -0.0863 0.2267 -0.1868 -0.3863 -0.6154 0.5428 -0.2004
"3" 0.1369 -0.0974 0.1742 -0.011 -0.1933 -0.148 -0.0789 0.5319
"4" 0.1298 -0.1035 0.1646 0.0038 -0.1627 0.0098 -0.1436 0.3421
"5" 0.1264 -0.1068 0.1702 0.0285 -0.1663 0.0201 -0.1216 0.1184
"6" 0.1245 -0.1188 0.1666 0.0417 -0.1395 0.0455 -0.132 0.0289
"7" 0.1234 -0.1184 0.1556 0.0623 -0.1225 0.0548 -0.1136 -0.0101
"8" 0.1235 -0.1234 0.1495 0.073 -0.1187 0.0771 -0.1266 -0.0389
"9" 0.1237 -0.1302 0.1445 0.0787 -0.1064 0.0936 -0.1107 -0.0488
"10" 0.1228 -0.1348 0.1376 0.0829 -0.0937 0.1067 -0.0986 -0.0733
"11" 0.1228 -0.1406 0.1272 0.0823 -0.0739 0.1169 -0.0806 -0.0982
"12" 0.1232 -0.1468 0.1132 0.0837 -0.0466 0.1221 -0.0444 -0.1127
"13" 0.1236 -0.1514 0.0948 0.0823 -0.0089 0.1243 -0.0065 -0.114
"14" 0.1241 -0.1572 0.0806 0.0819 0.0216 0.1174 0.0256 -0.1291
"15" 0.1248 -0.1613 0.0657 0.0816 0.0488 0.1112 0.0499 -0.1285
"16" 0.1248 -0.1665 0.0406 0.0789 0.0924 0.0945 0.0823 -0.123
"17" 0.1256 -0.1717 0.0082 0.0755 0.1419 0.0626 0.1217 -0.0919
"18" 0.1254 -0.1722 -0.0203 0.0689 0.183 0.0363 0.1481 -0.0616
"19" 0.1251 -0.1681 -0.0472 0.0627 0.1981 0.0053 0.1571 -0.0228
"20" 0.1252 -0.1648 -0.0632 0.0568 0.2029 -0.014 0.1575 0.0055
"21" 0.1256 -0.1588 -0.0773 0.0494 0.2039 -0.025 0.1481 0.0297
"22" 0.1261 -0.1498 -0.1001 0.0373 0.1895 -0.045 0.1238 0.0569
